work,author,year,camp,camp_label,source_chunk,word_count,animal_keywords,text,scan_complete,scan_tag,scan_reasoning
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,9,299,"[""animal"", ""animals"", ""bear"", ""species""]","tween the conception of a plan and the manner of its execution, upon which classes are founded in contradistinction to the types or branches to which they belong, we might arrive at this distinction by a careful investigation of that single Articulate, as well as by the study of all of them ; and we might recognize its type and ascertain its class-characters as fully as if the type embraced several classes, and these classes thousands of species. Secondly, this animal has a form, which no one would fail to recognize; so that, if form can be shown to be characteristic of families, we could thus determine its family. Again : besides the general structure, showing the fundamental relations of all the systems of organs of the body to one another in their natural development, our investigation could be carried into the study of the details of that structure in every part, and would thus lead to the recognition of what constitutes everywhere generic characters. Finally: as this animal lias definite relations to the surrounding world, as the individuals living at the time bear definite relations to one another, as the parts of the body show definite proportions, and its surface exhibits a special ornamentation, the specific characters could be traced as fully as if a number of other species were at hand for comparison; and they might be drawn and described with sufficient accuracy to distinguish it at any future time from any other set of species discovered afterwards, however closely these new species might be allied to it. In this case, then, we should have to acknowledge a separate branch in the animal kingdom, with a class, a family and a genus, in order to introduce one species into its proper place in the system of animals.",TRUE,internal_essence,"Confident: it explains classification by form, general structure, proportions, and relations among organs, i.e. internal structural features."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,10,299,"[""animal"", ""animals"", ""bear"", ""species""]","tween the conception of a plan and the manner of its execution, upon which classes are founded in contradistinction to the types or branches to which they belong, we might arrive at this distinction by a careful investigation of that single Articulate, as well as by the study of all of them ; and we might recognize its type and ascertain its class-characters as fully as if the type embraced several classes, and these classes thousands of species. Secondly, this animal has a form, which no one would fail to recognize; so that, if form can be shown to be characteristic of families, we could thus determine its family. Again : besides the general structure, showing the fundamental relations of all the systems of organs of the body to one another in their natural development, our investigation could be carried into the study of the details of that structure in every part, and would thus lead to the recognition of what constitutes everywhere generic characters. Finally: as this animal lias definite relations to the surrounding world, as the individuals living at the time bear definite relations to one another, as the parts of the body show definite proportions, and its surface exhibits a special ornamentation, the specific characters could be traced as fully as if a number of other species were at hand for comparison; and they might be drawn and described with sufficient accuracy to distinguish it at any future time from any other set of species discovered afterwards, however closely these new species might be allied to it. In this case, then, we should have to acknowledge a separate branch in the animal kingdom, with a class, a family and a genus, in order to introduce one species into its proper place in the system of animals.",TRUE,internal_essence,"Confident: the passage again grounds animal kinds in form and structure, especially the ""fundamental relations of all the systems of organs."""
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,10,191,"[""animal"", ""lobster"", ""species""]","Yet, even in this case, the question of the standing of Articulata, as a type among the other great branches of the animal kingdom, would be open to our investigations ; but it would assume another aspect from that which it now presents, as the comparison of Articulata with the other types would then be limited to the Lobster, and would lead to a very different result from that at which we may arrive, now that this type includes such a large number of most extensively diversified representatives, belonging even to different classes. That such speculations are not idle must be apparent to any one who is aware, that, during every period in the history of our globe in past geological ages,1 the general relations, the numeric proportions, and the relative importance of all the types of the animal kingdom, have been ever changing, until their present relations were established. Here, then, the individuals of one species, as observed while living, simultaneously exhibit characters, wThich, to be expressed satisfactorily and in conformity to what nature tells us, would require the establishment, not only of a distinct species, but also of a",TRUE,internal_essence,Confident: it treats the animal type as something determined by the varying internal relations and proportions of its representatives across time.
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,11,336,"[""animal"", ""animals"", ""lobster"", ""species""]","Yet, even in this case, the question of the standing of Articulata, as a type among the other great branches of the animal kingdom, would be open to our investigations ; but it would assume another aspect from that which it now presents, as the comparison of Articulata with the other types would then be limited to the Lobster, and would lead to a very different result from that at which we may arrive, now that this type includes such a large number of most extensively diversified representatives, belonging even to different classes. That such speculations are not idle must be apparent to any one who is aware, that, during every period in the history of our globe in past geological ages,1 the general relations, the numeric proportions, and the relative importance of all the types of the animal kingdom, have been ever changing, until their present relations were established. Here, then, the individuals of one species, as observed while living, simultaneously exhibit characters, wThich, to be expressed satisfactorily and in conformity to what nature tells us, would require the establishment, not only of a distinct species, but also of a

1 A series of classifications of ani- rate knowledge of the relative standmals and plants, exhibiting each a ing of all animals and plants, which, natural system of the types known at present, can only be inferred from to have existed simultaneously dur- the perusal even of those palaeontoing the several successive geological logical works in which fossil remains periods, considered singly and with- are illustrated according to their asout reference to the types of other sociation in different geological formages, would show in a strong light ations ; for, in all these works, the the different relations in which the remains of past ages are uniformly classes, the orders, the families, and referred to a system established upon even the genera and species, have the study of the animals now living, stood to one another during each thus lessening the impression of their epoch.",TRUE,internal_essence,"Confident: despite the footnote, the main claim is about species exhibiting characters and requiring distinct classification, not about purpose."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,12,145,"[""animals"", ""species""]","1 A series of classifications of ani- rate knowledge of the relative standmals and plants, exhibiting each a ing of all animals and plants, which, natural system of the types known at present, can only be inferred from to have existed simultaneously dur- the perusal even of those palaeontoing the several successive geological logical works in which fossil remains periods, considered singly and with- are illustrated according to their asout reference to the types of other sociation in different geological formages, would show in a strong light ations ; for, in all these works, the the different relations in which the remains of past ages are uniformly classes, the orders, the families, and referred to a system established upon even the genera and species, have the study of the animals now living, stood to one another during each thus lessening the impression of their epoch.",TRUE,junk,"Confident: this is mostly a footnote about classifications and paleontological works, with no substantive definition of an animal."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,12,94,"[""animals"", ""species""]","Is not this in itself evidence enough that genera, families, orders, classes and types have the same foundation in nature as species, and that the individuals living at the time have alone a material existence, they being the bearers, not only of all the different categories of structure upon which the natural system of animals is founded, but also of all the relations which animals sustain to the surrounding world, — thus showing that species do not exist in nature in a different way from the higher groups, as is so generally believed \",TRUE,non_divine_teleology,"Confident: it defines animals by the relations they sustain to the surrounding world, a functional/external characterization."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,13,145,"[""animal"", ""animals"", ""species""]","Is not this in itself evidence enough that genera, families, orders, classes and types have the same foundation in nature as species, and that the individuals living at the time have alone a material existence, they being the bearers, not only of all the different categories of structure upon which the natural system of animals is founded, but also of all the relations which animals sustain to the surrounding world, — thus showing that species do not exist in nature in a different way from the higher groups, as is so generally believed \

The divisions of animals according to branch, class, order, family, genus, and species, by which we express the results of our investigations into the relations of the animal kingdom, and which constitute the primary question respecting any system of Zoology, seem to me to deserve the consideration of all thoughtful minds.",TRUE,non_divine_teleology,"Confident: the key explanatory claim is that individuals bear the relations animals sustain to the surrounding world, emphasizing function and interaction."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,13,183,[],"Are they the devices of the human mind to classify and arrange our knowledge in such a manner as to bring it more readily within our grasp and facilitate further investigations, or have they been instituted by the Divine Intelligence as the categories of his mode of thinking ril Have we, perhaps, thus far been only the unconscious interpreters of a Divine conception, in our attempts to expound nature ? and when in our pride of philosophy we thought that we were inventing systems of science, and classifying creation by the force of our own reason, have we followed only, and reproduced, in our imperfect expressions, the plan

i It must not be overlooked here but merely as the expression of a

that a system may be natural, that fact existing in nature — no matter

is, may agree in every respect with how — which the human mind may

the facts in nature, and yet not be trace and reproduce in a systematic

considered by its author as the mani- form of its own invention, festation of the thoughts of a Creator,",TRUE,divine_teleology,"Confident: it explicitly asks whether classifications were instituted by the Divine Intelligence and are the ""plan"" of God."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,14,377,"[""animal"", ""animals""]","considered by its author as the mani- form of its own invention, festation of the thoughts of a Creator,

whose foundations were laid in the dawn of creation, and the development of which we are laboriously studying,— thinking, as we put together and arrange our fragmentary knowledge, that we are introducing order into chaos anew 1 Is tins order the result of the exertions of human skill and ingenuity; or is it inherent in the objects themselves, so that the intelligent student of Natural History is led unconsciously, by the study of the animal kingdom itself, to these conclusions ; the great divisions under which he arranges animals being indeed but the headings to the

o o *— >

chapters of the great book which he is reading \ To me it appears indisputable, that this order and arrangement of our studies are based upon the natural, primitive relations of animal life, — those systems, to which we have given the names of the great leaders of our science who first proposed them being in truth but translations into human language of the thoughts of the Creator. And if

O o O

this is indeed so, do we not find in this adaptability of the human intellect to the facts of creation,1 by which we become instinctively, and, as I have said, unconsciously, the translators of the thoughts of God, the most conclusive proof of our affinity with the Divine mind \ and is not this intellectual and spiritual connection with the Almighty worthy of our deepest consideration ? If there is any truth in the belief that man is made in the image of God, it is surely not amiss for the philosopher to endeavour, by the study of his own mental operations, to approximate the workings of the Divine Eeason, learning from the nature of his own. mind better to understand the Infinite

1 The human mind is in tune with may be considered as a school in

nature, and much that appears as a which man is taught to know himself,

result of the working of our intelli- and his relations to his fellow beings,

gence is only the natural expression as well as to the First Cause of all

of that preestablished harmony.",TRUE,divine_teleology,Confident: it says animal divisions are translations of the thoughts of the Creator and the plan of creation.
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,15,290,"[""animal""]","He who, penetrating into the secrets of creation, arranges them under a formula, which he proudly calls his scientific system ? or he who in the same pursuit recognizes his glorious affinity with the Creator, and in deepest gratitude for so sublime a birthright strives to be the faithful interpreter of that Divine Intellect with whom he is permitted, nay, with whom he is intended, according to the laws of his being, to enter into communion \

I confess that this question, as to the nature and foundation of our scientific classifications, appears to me to have the deepest importance ; an importance far greater, indeed, than is usually attached to it. If it can be proved that man has not invented, but only traced, this systematic arrangement in nature ; that these relations and proportions, which exist throughout the animal and vegetable world, have an intellectual, an ideal connection, in the mind of the Creator ; that this plan of creation, which so commends itself to our highest wisdom, has not grown out of the necessary action of physical laws, but was the free conception of the Almighty Intellect, matured in his thought before it was manifested in tangible external forms ; — if, in short, we can prove premeditation prior to the act of creation, we have done, once and for ever, with the desolate theory which refers us to the laws of matter as accounting for all the winders of the universe, and leaves us with no God but the monotonous, unvarying action of physical forces, binding all things to their inevitable destiny.1 I think our science has now reached

1 I allude here only to the doc- necessary to add, that there are phytriues of materialists.",TRUE,divine_teleology,Confident: the passage directly frames animal classification as the free conception and plan of the Almighty Intellect.
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,15,40,[],"The argument for the existence of an intelligent Creator

o o

is generally drawn from the adaptation of means to ends, upon which the Bridgewater treatises, for example, have been based.1 But this does not appear to me to cover",TRUE,divine_teleology,Confident: it frames the question as evidence for an 'intelligent Creator' and discusses adaptation of means to ends as a design argument.
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,17,335,"[""animal"", ""animals""]","1 The Bridgewater Treatises, on the Power, Wisdom, and Goodness of God, as Manifested in the Creation : CHALMERS (THOMAS), The Adaptation of External Nature to the Moral and Intellectual Constitution of Man; Glasgow, 1839, 2 vols. 8vo. — KIDB (JOHN), On the Adaptation of External Nature to the Physical Condition of Man ; London, 1833, 1 vol. 8vo. — WHEWELL (WiLL.), Astronomy and General Physics considered with Reference to Natural Theology ; London,1839,lvol.8vo. — BELL(CHAELES), The Hand, its Mechanism and Vital Endowments, as evincing Design ; London, 1833, 1 vol. 8vo. — ROGET (PETER MARK), Animal and Vegetable Physiology, considered with Reference to Natural Theology ; Lonidea of being considered as materialists, who are yet prone to believe, that, when they have recognized the laws which regulate the physical world, and acknowledged that these laws were established by the Deity, they have explained everything, even when they have considered only the phenomena of the inorganic world : as if the world contained no living beings ; and as if these living beings exhibited nothing that differed from the inorganic world. Mistaking for a casual relation the intellectual connexion observable between serial phenomena, they are unable to perceive any difference between disorder, and the free, independent, and self-possessed action of a superior mind ; and call mysticism, even a passing allusion to the existence of an immaterial principle in animals, which they acknowledge themselves in man. [POWELL'S Essays, etc., p. 478, 385, and 466.] I would further remark, that, when speaking of creation iu contradistinction with reproduction, I mean only to allude to the difference there is between the regular course of phenomena in nature, and the establishment of that order of things, without attempting to explain either ; for, in whatever manner any state of things which has prevailed for a time upon earth may have been introduced, it is self-evident that its establishment and its maintenance for a determined period are two very different things, however frequently they may be mistaken as identical.",TRUE,divine_teleology,"Confident: it explicitly says animals may have an 'immaterial principle' and that laws were 'established by the Deity,' which is divine-purpose framing."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,18,371,"[""animal"", ""animals"", ""instincts"", ""limbs"", ""whale""]","12 ESSAY ON CLASSIFICATION.

the whole ground ; for we can conceive that the natural action of objects upon each other should result in a final fitness of the universe, and thus produce an harmonious whole. Nor does the argument derived from the connection of organs and functions seem to me more satisfactory ; for, beyond certain limits, it is not even true. We find organs without functions, as, for instance, the teeth of the whale, which never cut through the gum, and the breast in all males of the class of mammalia. These and similar organs are preserved in obedience to a certain uniformity of fundamental structure, true to the original formula of that division of animal life, even when not essential to its mode of existence. The organ remains, not for the performance of a function, but with reference to a plan,1 and might almost remind us of what we often see in human structures, when, for instance, in architecture the same external combinations are retained for the sake of symmetry and harmony of proportion, even when they have no practical object. I disclaim every intention of introducing into this work any evidence irrelevant to my subject, or of supporting any conclusions not immediately flowing from it; but I cannot overlook or disregard here the close connection which

don, 1834, 2 vols. 8vo. — BUCKLAKD logie de la Nature; Paris, 1852, 3 (WiLL.), Geology and Mineralogy vols., 8vo. — MILLER (HUGH), Footconsidered with Reference to Natural prints of the Creator ; Edinburgh, Theology; London, 1836, 2 vols. 8vo., 1849, 1 vol. 12mo.— BABBAGE (C.), 2nd edit., 1837. — KIRBY (WiLL.), The Ninth Bridgwater Treatise, a The Power, Wisdom, and Goodness Fragment ; London, 1838, 1 vol. 8vo.? of God, as Manifested in the Creation 2nd edit.

of Animals, and in their History, 1 The unity of structure of the

Habits, and Instincts; London, 1835, limbs of club-footed or pinnated ani-

2 vols. 8vo. — PROUT (WiLL.), Chemis- inals, in which the fingers are never

try, Meteorology, and the Function moved, with those which enjoy the

of Digestion, considered with Refer- most perfect articulations and freeence to Natural Theology; London, dom of motion, exhibits this reference

1834, 1 vol. 8vo.",TRUE,internal_essence,"Confident: organs are said to remain 'in obedience to a certain uniformity of fundamental structure' and 'with reference to a plan,' not for function."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,20,209,"[""animals""]","Many, of Naturalists in Gottingen, and which

again, are no doubt prevented from have since then been carried on in

expressing their conviction that the several pamphlets in which bigotry

world was called into existence and vies with personality and invective, is regulated by an intelligent God,

14 ESSAY ON CLASSIFICATION.

reader beyond what is absolutely necessary to follow the argument, nor dwell at any length upon the conclusions to which they lead ; but will simply recall the leading features of the evidence, assuming in the argument a full acquaintance with the whole range of data upon which it is founded, whether derived from the affinities or the anatomical structure of animals, or from their habits and their geographical distribution, from their embryology, or from their succession in past geological ages, and the peculiarities they have exhibited during each,1 believing, as I do, that isolated and disconnected facts are of little consequence in the contemplation of the whole plan of creation ; and that, without a consideration of all the facts furnished by the study of the habits of animals, by their anatomy, their embryology, and the history of the past ages of our globe, we shall never arrive at the knowledge of the natural system of animals.",TRUE,divine_teleology,Confident: the passage repeatedly invokes the 'whole plan of creation' and an 'intelligent God' as the framework for animals.
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,21,66,"[""animals""]","It is a fact, which seems to be entirely overlooked by those who assume an extensive influence of physical causes upon the very existence of organized beings, that the most diversified types of animals and plants are everywhere found under identical circumstances. The smallest sheet of fresh water, every point upon the sea-shore, every acre of dry land teems with a variety of animals and plants.",TRUE,junk,"Confident: it only notes that many kinds of animals occur in various habitats, without explaining what animals are or are for."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,22,203,"[""animals"", ""ants"", ""egg"", ""eggs"", ""species""]","1 In order to appreciate fully the pearance, the conditions necessary to difficulty alluded to here, it is only their growth must have been pronecessary to remember how compli- vided for, if, as I believe, they were cated, and at the same time how created as eggs, — which conditions localized, the conditions are, under must have been conformable to those which animals multiply. The egg in which the living representatives of originates in a special organ, the the types first produced now reproovary ; it grows there to a certain"" duce themselves. If it were assumed size, until it requires fecundation, — that they originated in a more adthat is, the influence of another liv- vauced stage of life, the difficulties ing being, or, at least, of the product would be still greater, as a moment's of another organ, the spermary, — to consideration cannot fail to show, determine the further development especially if it is remembered how of the germ, which, under the most complicated the structure of some of diversified conditions, in different the animals was which are known to species, passes successively through have been among the first inhabitall those changes which lead to the ants of our globe.",TRUE,internal_essence,"Confident: it explains animal reproduction through the egg, ovary, fecundation, and successive developmental stages as internal mechanisms."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,22,110,"[""animals"", ""species""]","I iiig this subject, it is of course neceswould ask then, Is it probable that sary to consider the first appearance the circumstances under which ani- of animals and plants upon the basis rnals and plants originated for the of probabilities only, or even simply first time can be much simpler, or upon that of possibilities ; as with reeven as simple, as the conditions ference to the first-born, at least, the necessary for their reproduction only transmutation theory furnishes no after they have once been created ? explanation of their existence. For Preliminary, then, to their first ap- every species belonging to the first

1 6 ESSAY ON CLASSIFICATION.",TRUE,junk,"Confident: this is a general argumentative setup about first appearance, not a substantive definition of animals or animal parts."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,23,354,"[""animals"", ""fauna"", ""organisms""]","1 6 ESSAY ON CLASSIFICATION.

the contrary, that these organisms may have appeared in the beginning over a wide area, is to grant, at the same time, that the physical influences under which they existed at first were not so specific as to justify the assumption that these could be the cause of their appearance. In whatever connection, then, the first appearance of organized beings upon earth is viewed, whether it is assumed that they originated within the most limited areas, or over the widest range of their present natural geographical distribution, animals and plants being everywhere diversified to the most extraordinary extent, it is plain that the physical influences under which they subsist cannot logically be considered as the cause of that diversity. In this, as in every other respect, when considering the relations of animals and plants to the conditions under which they live or to one another, we are inevitably led to look beyond the material facts of the case for an explanation of their existence. Those who have been led to take another view of this subject have mistaken the action and reaction which exist everywhere between organized beings, and the physical influences under which they live,1 for a casual or genetic connection, and carried their mistake so far as to assert that these manifold influences could really extend to the production of these beings; not considering how inadequate such a cause would be, and that even the action of physical agents upon organized beings presupposes the very existence of those beings.2 The simple fact that there

fauna and the first flora which have while, in a wider area, physical agents existed upon earth, special relations, are too uniform in their mode of acspecial contrivances must, therefore, tion to have laid the foundation for have been provided. Now, what would so many specific differences as exbe appropriate for the one would not isted between the first inhabitants suit the other, so that, excluding one of our globe, another in this way, they cannot J See below, Sect. 16. have originated upon the same point; 2 A Critical examination of this",TRUE,junk,"Confident: it argues that physical influences do not cause diversity, but gives no substantive account of what animals are."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,24,230,"[""animals"", ""fauna""]","fauna and the first flora which have while, in a wider area, physical agents existed upon earth, special relations, are too uniform in their mode of acspecial contrivances must, therefore, tion to have laid the foundation for have been provided. Now, what would so many specific differences as exbe appropriate for the one would not isted between the first inhabitants suit the other, so that, excluding one of our globe, another in this way, they cannot J See below, Sect. 16. have originated upon the same point; 2 A Critical examination of this

has been a period in the history of our earth, now well known to geologists,1 when none of these organized beings as yet existed, and when, nevertheless, the material constitution of our globe and the physical forces acting upon it were essentially the same as they are now,2 shows that these influences are insufficient to call into existence any living being.

point may dispel much of the confusion which prevails in the discussions relating to the influence of physical causes upon organized beings. That there exist definite relations between animals as well as plants and the mediums in which they live, no one at all familiar with the phenomena of the organic world can doubt ; that these mediums, and all physical agents at work in nature, have a certain influence upon organized beings, is equally plain.",TRUE,junk,"Confident: it mentions 'special contrivances' and environmental relations, but the passage is mainly about causes of origins rather than defining animals or parts."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,25,27,"[""animals""]","O O

problem before us involves, therefore, two questions, the influence of physical agents upon animals and plants already iu existence, and the origin of these beings.",TRUE,junk,"Confident: it merely states the topic is the influence of physical agents and the origin of animals, with no explanatory content itself."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,25,32,[],"But, according to some, they originated spontaneously by the immediate agency of physical forces, and have become successively more and more diversified by changes produced gradually upon them by these same forces.",TRUE,junk,"This is a general claim about spontaneous origin and diversification, but it does not define what animals are or how any animal part functions. It is too abstract and contextless to count as substantive explanatory content about animals themselves."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,26,214,"[""animal""]","there are neither agents nor Jaws in nature known to physicists, under the influence, and by the action of which, these beings could have originated ; that, on the contrary, the very nature of these beings and their relations to one another and to the world in which they live exhibit thought, and can therefore be referred only to the immediate action of a thinking being, even though the manner in which they were called into existence remains for the present a mystery.

1 Few geologists only may now be inclined to believe that the lowest strata known to contain fossils are not the lowest deposits formed since the existence of organized beings upon earth. But, even those who would assume that still lower fossiliferous beds may yet be discovered, or may have entirely disappeared, by the influence of plutouic agencies (POWELL'S Essays, etc., p. 424), must acknowledge the fact, that, everywhere in the lowest rocks known to contain fossils at all, there is a variety of them found together. (See Sect. 7.) Moreover, the similarity in the character of the oldest fossils found in different parts of the world goes far, in my opinion, to prove that we actually do know the earliest types of the animal kingdom which have inhabited our globe.",TRUE,divine_teleology,The passage explicitly says the nature and relations of these beings exhibit thought and can be referred only to the immediate action of a thinking being. It treats animal origins and relations as evidence of divine or intentional design.
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,27,203,"[""animals"", ""fauna"", ""species""]","They must have been fixed for each species at its beginning ; while the fact of their permanency through successive generations2 is further evidence, that with their natural relations to the surrounding world were also determined the relations of individuals to one another,3 their generic as well as their family relations, and every higher grade of affinity;4 showing, therefore, not only thought in reference to the physical conditions of existence, but such comprehensive thoughts as would embrace simultaneously every characteristic of each species. Every fact relating to the geographical distribution of animals and plants might be alluded to in confirmation of this argument, but especially the character of every fauna and every flora upon the surface of the globe. How great

1 See below, Sect. 16. 3 See below, Sect. 17.

2 See below, Sect. 15. 4 See below, Sect. 6.

the diversity of animals and plants living together in the same region may be, can be ascertained by the perusal of special works upon the Zoology and Botany of different countries, or from special treatises upon the geographical distribution of animals and plants.1 I need not enter, therefore, into further details upon this subject, especially since it is discussed more fully below.2",TRUE,divine_teleology,Agassiz argues species were fixed at their beginning and that their relations and characteristics show 'thought' and comprehensive planning. This frames animals as products of a designing intelligence rather than environmental forces.
