period_bin,subfield,bucket,n_explanatory,n_divine_teleology,n_non_divine_teleology,n_internal_essence
1890_1909,comparative_anatomy_morphology,part,5809,3,2852,2954
1890_1909,comparative_anatomy_morphology,whole,2212,4,1024,1184
1890_1909,embryology_development,part,2600,0,1196,1404
1890_1909,embryology_development,whole,1567,1,585,981
1890_1909,evolution_adaptation,part,4045,15,2910,1120
1890_1909,evolution_adaptation,whole,3970,66,2607,1297
1890_1909,general_or_unknown,part,20727,43,12585,8099
1890_1909,general_or_unknown,whole,10444,29,7074,3341
1890_1909,natural_history_ecology_behavior,part,9081,73,6276,2732
1890_1909,natural_history_ecology_behavior,whole,4916,69,3996,851
1890_1909,paleontology,part,2505,6,906,1593
1890_1909,paleontology,whole,640,0,224,416
1890_1909,physiology,part,1662,5,1250,407
1890_1909,physiology,whole,816,2,568,246
1890_1909,taxonomy_systematics,part,4514,3,2347,2164
1890_1909,taxonomy_systematics,whole,1439,4,879,556
1910_1929,comparative_anatomy_morphology,part,2212,0,1083,1129
1910_1929,comparative_anatomy_morphology,whole,776,0,407,369
1910_1929,embryology_development,part,1195,3,483,709
1910_1929,embryology_development,whole,961,1,428,532
1910_1929,evolution_adaptation,part,1720,22,959,739
1910_1929,evolution_adaptation,whole,2164,40,1123,1001
1910_1929,general_or_unknown,part,13246,11,8798,4437
1910_1929,general_or_unknown,whole,8847,11,6789,2047
1910_1929,natural_history_ecology_behavior,part,4384,11,3229,1144
1910_1929,natural_history_ecology_behavior,whole,2746,14,2352,380
1910_1929,paleontology,part,1525,1,685,839
1910_1929,paleontology,whole,448,0,184,264
1910_1929,physiology,part,971,3,579,389
1910_1929,physiology,whole,719,7,310,402
1910_1929,taxonomy_systematics,part,1041,1,501,539
1910_1929,taxonomy_systematics,whole,743,1,596,146
