work_id,period_bin,year,title,sources,volumes,n_rows,n_junk,n_explanatory,n_divine_teleology,n_non_divine_teleology,n_internal_essence,below_min_explanatory
|system of anatomy and physiology from the latest,1750_1799,1787,"A System of anatomy and physiology; from the latest and best authors. Arranged, as nearly as the nature of the work would admit, in the order of the lectures delivered by the Professor of Anatomy in t",IA,1,372,291,81,0,64,17,0
anderson|tenth letter to sir joseph banks baronet on,1750_1799,1787,"A tenth letter to Sir Joseph Banks Baronet ... on the subject of cochineal insects, discovered at Madras, by James Anderson, M.D. ... 1787",IA,1,10,8,2,0,2,0,1
anderson|eleventh letter to sir joseph banks baronet on,1750_1799,1787,"An eleventh letter to Sir Joseph Banks Baronet ... on the subject of cochineal insects, discovered at Madras, by James Anderson, M.D. ... 1787",IA,1,11,10,1,0,0,1,1
kentish|essay on the method of studying natural history,1750_1799,1787,"An essay on the method of studying natural history; being an oration delivered to the Societas Naturae Studiosorum, at Edinburgh, in the year 1782. By Richard Kentish, M. D. ... 1787",IA,1,91,72,19,1,5,13,1
boreman|description of above three hundred animals viz beasts,1750_1799,1787,"[Description of three hundred animals]. A description of above three hundred animals, viz. beasts, birds, fishes, serpents, and insects. With a particular account of the manner of catching whales in G",IA,1,365,310,55,0,50,5,0
adams|essays on the microscope containing a practical description,1750_1799,1787,"Essays on the microscope; containing a practical description of the most improved microscopes: a general history of insects, ... By George Adams, ... 1787",IA,1,749,602,147,8,114,25,0
anderson|five letters to sir joseph banks baronet on,1750_1799,1787,"Five letters to Sir Joseph Banks Baronet ... on the subject to cochineal insects, discovered at Madras, by James Anderson, M.D. ... 1787",IA,1,25,21,4,0,3,1,1
nichols|queries proposed to the nobility gentry and clergy,1750_1799,1787,"Queries proposed to the nobility, gentry, and clergy, of Leicestershire; with a view of completing, from their answers, an account of the antiquities and natural history of the several parishes in tha",IA,1,10,10,0,0,0,0,1
159239,1750_1799,1788,"The figures, description, and history of exotic animals, comprised under the classes Amphibia and Pisces of Linnæus",BHL,1,102,90,12,0,10,2,1
goodwyn|connexion of life with respiration or an experimental,1750_1799,1788,"The connexion of life with respiration: or, an experimental inquiry into the effects of submersion, strangulation ... on living animals",IA,1,84,82,2,0,2,0,1
|easy way of breeding canary birds and the,1750_1799,1788,"An easy way of breeding canary birds; and the best method of chusing and keeping them, both for breeding and song, with directions for curing the disorders they are subject to. To which are added, ins",IA,1,59,42,17,0,16,1,1
butler|arithmetical questions having for the most part a,1750_1799,1788,"Arithmetical questions, having, for the most part, a reference either to sacred, profane, or natural history, chronology, geography, or commerce; designed as exercises in the four principal rules, ...",IA,1,32,32,0,0,0,0,1
cordiner|remarkable ruins and romantic prospects of north britain,1750_1799,1788,"Remarkable ruins, and romantic prospects, of North Britain. with [sic] ancient monuments, and singular subjects of natural history by the Revd. Charles Cordiner of Banff. The engravings by Peter Mazel",IA,1,168,161,7,0,7,0,1
chnier|present state of the empire of morocco its,1750_1799,1788,"The present state of the Empire of Morocco. Its animals, products, climate, soil, ... Translated from the French of M. Chenier. 1788: Vol 1",IA,1,163,149,14,0,13,1,1
|present state of the empire of morocco its,1750_1799,1788,"The Present State of the Empire of Morocco. Its Animals, Products, Climate, Soil, Cities, Ports, Provinces, Coins, Weights, and Measures. With the Language, Religion, Laws, Manners, Customs, and Chara",IA,1,85,84,1,0,1,0,1
ejenner|observations on the natural history of the cuckoo,1750_1799,1788,"Observations on the Natural History of the Cuckoo. By Mr. Edward Jenner. In a Letter to John Hunter, Esq. F. R. S.",IA,1,44,33,11,0,11,0,1
114867,1750_1799,1789,"The classical farrier : exhibiting the whole anatomy of that noble animal the horse : perfectly describing, by elegant engravings on copper-plates, the various parts of the head, body, and limbs, both",BHL,1,1200,989,211,0,190,21,0
5761,1750_1799,1789,Memoir on the regeneration of certain parts of the bodies of fishes,BHL,1,12,7,5,0,3,2,1
|new moral system of natural history or the,1750_1799,1789,"A new moral system of natural history, or, the beauties of nature displayed; in the most singular, curious, and beautiful quadrupeds, and birds, to which are added, in the history of the English song ",IA,1,365,257,108,12,91,5,0
berkenhout|synopsis of the natural history of great britain,1750_1799,1789,[Outlines of the natural history of Great Britain and Ireland]. Synopsis of the natural history. Of Great-Britain and Ireland. Containing a systematic arrangement and concise description of all the an,IA,1,318,312,6,0,1,5,1
lewin|birds of great britain with their eggs accurately,1750_1799,1789,"The birds of Great-Britain, with their eggs, accurately figured. By William Lewin. 1789-1790: Vol 1-2",IA,1,216,212,4,0,4,0,1
aikin|calendar of nature or youth s delightful companion,1750_1799,1789,"The calendar of nature: or, youth's delightful companion. Containing, details of natural history, the narrative variegated with poetical quotations from the most celebrated authors. Embellished with e",IA,1,82,73,9,0,8,1,1
white|natural history and antiquities of selborne in the,1750_1799,1789,"The natural history and antiquities of Selborne, in the county of Southampton: with engravings, and an appendix. 1789",IA,1,718,644,74,3,69,2,0
hablitz|natural history of east tartary 1789,1750_1799,1789,The natural history of East Tartary. 1789,IA,1,187,177,10,1,8,1,1
williams|natural history of the mineral kingdom 1789 vol,1750_1799,1789,The natural history of the mineral kingdom ... 1789: Vol 1,IA,1,195,192,3,0,3,0,1
ewgray|observations on the class of animals called by,1750_1799,1789,"Observations on the Class of Animals Called, by Linnaeus, Amphibia; Particularly on the Means of Distinguishing Those Serpents Which are Venomous, from Those Which are not So. By Edward Whitaker Gray,",IA,1,40,33,7,0,0,7,1
44872,1750_1799,1790,Indian zoology,BHL,1,197,186,11,1,9,1,1
|beauties of the creation or a new moral,1750_1799,1790,"The beauties of the creation; or, a new moral system of natural history; displayed in the most singular, curious, and beautiful, quadrupeds. birds, insects, trees, and flowers: designed to inspire you",IA,1,258,182,76,16,48,12,0
beilby|general history of quadrupeds the figures engraved on,1750_1799,1790,A general history of quadrupeds. The figures engraved on wood by T. Bewick. 1790,IA,1,846,630,216,9,193,14,0
fourcroy|elements of natural history and chemistry by m,1750_1799,1790,"Elements of natural history and chemistry. By M. Fourcroy; ... Translated from the last Paris edition, 1789, being the third, ... With an alphabetical comparative view of the ancient and modern names ",IA,1,497,476,21,0,19,2,1
pennant|indian zoology second edition 1790,1750_1799,1790,"Indian zoology, - Second edition. 1790",IA,1,175,166,9,1,7,1,1
white|journal of a voyage to new south wales,1750_1799,1790,"Journal of a voyage to New South Wales with sixty-five plates of non descript animals, birds, ... and other natural productions by John White ... 1790",IA,1,309,279,30,0,22,8,0
hamilton|letters concerning the natural history of the basaltes,1750_1799,1790,[Letters concerning the northern coast of the county of Antrim]. Letters concerning the natural history of the basaltes of the northern coast of the county of Antrim; with an account of its antiquitie,IA,1,131,130,1,1,0,0,1
|proposals for publishing by subscription by peter hill,1750_1799,1790,"Proposals for publishing by subscription, by Peter Hill at the Cross, A new system of the natural history of quadrupeds, birds, fishes, and insects. 1790",IA,1,12,12,0,0,0,0,1
sinclair|queries drawn up for the purpose of elucidating,1750_1799,1790,Queries drawn up for the purpose of elucidating the natural history and political state of Scotland. 1790,IA,1,15,15,0,0,0,0,1
shaw|speculum linnaeanum sive zoologice linnaeanae illustratio genus omne,1750_1799,1790,Speculum Linnaeanum: sive zoologice Linnaeanae illustratio; genus omne accurate explicans representasque ... or Linneaan zoology; containing a complete illustration ... 1790,IA,1,42,34,8,0,4,4,1
moyes|syllabus of a course of lectures on the,1750_1799,1790,Syllabus of a course of lectures on the philosophy of natural history. 1790,IA,1,14,13,1,0,1,0,1
pole|anatomical instructor or an illustration of the modern,1750_1799,1790,"The anatomical instructor, or, an illustration of the modern and most approved methods of preparing and preserving the different parts of the human body, and of quadrupeds, by injection, corrosion, ..",IA,1,174,150,24,3,21,0,1
smelliewilliammemberoftheroyalsocietyofedinburgh|philosophy of natural history by william smellie in,1750_1799,1790,"The philosophy of natural history. By William Smellie, ... In two volumes. ... 1790: Vol 1",IA,1,806,507,299,5,237,57,0
smellie|philosophy of natural history by william smellie 1790,1750_1799,1790,"The philosophy of natural history. By William Smellie, ... 1790",IA,1,1200,912,288,8,225,55,0
106862,1750_1799,1791,"Lord's Entire new system of ornithology, or, Oecumenical history of British birds ...",BHL,1,261,205,56,0,55,1,0
125549,1750_1799,1791,"A new system of the natural history of quadrupeds, birds, fishes, and insects",BHL,1,1200,833,367,5,281,81,0
beilby|general history of quadrupeds the figures engraved upon,1750_1799,1791,A general history of quadrupeds. The figures engraved upon wood by T. Bewick. The second edition. 1791,IA,1,865,650,215,11,187,17,0
|system of anatomy and physiology with the comparative,1750_1799,1791,"A system of anatomy and physiology, with the comparative anatomy of animals. Compiled from the latest and best authors, and arranged, as nearly as the work would admit, in the order of the lectures de",IA,1,1018,775,243,2,192,49,0
burt|delineation of curious foreign beasts and birds in,1750_1799,1791,"Delineation of curious foreign beasts and birds, in their natural colours; which are to be seen alive at the great room over Exeter change, and at the Lyceum, in the Strand. By N. Burt, of the Naval a",IA,1,53,49,4,0,4,0,1
spilsbury|every lady and gentleman their own dentist as,1750_1799,1791,"Every lady and gentleman their own dentist, as far as the operations will allow. Containing the natural history of the adult teeth and their diseases, ... By F.B. Spilsbury, surgeon, ... 1791",IA,1,41,31,10,1,7,2,1
buffon|buffon s natural history abridged including the history,1750_1799,1791,"[Histoire naturelle. English. Abridgments] Buffon's Natural history, abridged. Including the history of the elements, the earth, and its component parts, ... with a general view of the insect world. I",IA,1,1200,837,363,1,318,44,0
buffon|natural history general and particular by the count,1750_1799,1791,"[Histoire naturelle. English]. Natural history, general and particular, by the Count de Buffon. Translated into English, illustrated with above three hundred copper-plates, and occasional notes and ob",IA,1,1200,1014,186,0,120,66,0
leclerc|system of natural history 1791 vol 1,1750_1799,1791,"[Histoire naturelle. English. Abridgement]. The system of natural history, ... 1791: Vol 1",IA,1,1113,822,291,0,248,43,0
leclerc|system of natural history 1791 vol 2,1750_1799,1791,"[Histoire naturelle. English. Abridgement]. The system of natural history, ... 1791: Vol 2",IA,1,1200,902,298,1,261,36,0
leclerc|buffon s natural history abridged including the history,1750_1799,1791,"[Histoire naturelle. English. Abridgment]. Buffon's Natural history, abridged. Including the History of the elements of the earth, and its component parts, ... Illustrated with a great ... 1791",IA,1,1200,819,381,3,332,46,0
oswald|cry of nature or an appeal to mercy,1750_1799,1791,"The cry of Nature; or, an appeal to mercy and to justice, on behalf of the persecuted animals. By John Oswald, ... 1791",IA,1,62,55,7,1,6,0,1
|natural history of birds 1791 vol 1,1750_1799,1791,"The natural history of birds, ... 1791: Vol 1",IA,1,298,221,77,6,64,7,0
|natural history of birds 1791 vol 2,1750_1799,1791,"The natural history of birds, ... 1791: Vol 2",IA,1,355,285,70,2,66,2,0
|natural history of birds 1791 vol 3,1750_1799,1791,"The natural history of birds, ... 1791: Vol 3",IA,1,367,285,82,2,77,3,0
smellie|philosophy of natural history by william smellie member,1750_1799,1791,"The philosophy of natural history. By William Smellie, member of the Antiquarian and Royal Societies of Edinburgh. 1791",IA,1,1200,831,369,3,318,48,0
jamesedwardsmith|introductory discourse on the rise and progress of,1750_1799,1791,Introductory discourse on the rise and progress of Natural History,IA,1,43,42,1,0,0,1,1
57940,1750_1799,1792,"The animal kingdom, or zoological system, of the celebrated Sir Charles Linnæus. containing a complete systematic description, arrangement, and nomenclature, of all the known species and varieties of ",BHL,1,1200,1094,106,0,83,23,0
114876,1750_1799,1792,A general history of quadrupeds,BHL,1,975,747,228,10,209,9,0
197073,1750_1799,1792,The natural history of insects,BHL,1,1016,699,317,7,274,36,0
39825,1750_1799,1792,"A New system of the natural history of quadrupeds, birds, fishes and insects",BHL,1,1200,822,378,7,265,106,0
georgeslouisleclercbuffoncomtede|barr s buffon buffon s natural history containing,1750_1799,1792,"Barr's Buffon. Buffon's Natural history,: containing a theory of ..., Volume 1",IA,1,151,146,5,0,5,0,1
heron|elegant extracts of natural history collected and revised,1750_1799,1792,"Elegant extracts of natural history; collected and revised from a great variety of the most elegant and authentic writers ... With a preface, containing some hints on education, by Robert Heron. ... 1",IA,1,749,647,102,1,96,5,0
leclerc|barr s buffon buffon s natural history containing,1750_1799,1792,"[Histoire naturelle. English]. Barr's Buffon. Buffon's Natural history, containing a theory of the earth, a general history of man, of the brute creation, and of vegatables, minerals, &c. From the Fre",IA,1,432,334,98,0,75,23,0
norden|antiquities natural history ruins and other curiosities of,1750_1799,1792,"The antiquities, natural history, ruins, and other curiosities of Egypt, Nubia, and Thebes. Exemplified in near two hundred drawings, taken on the spot, by Frederic Lewis Norden, ... The whole engrave",IA,1,59,59,0,0,0,0,1
buffon|natural history of birds from the french of,1750_1799,1792,"The natural history of birds. From the French of the Count de Buffon. Illustrated with engravings; and a preface, notes, and additions, by the translator. In nine volumes. Vol.III. 1792",IA,1,1032,924,108,0,87,21,0
|natural history of insects compiled from swammerdam brookes,1750_1799,1792,"The natural history of insects, compiled from Swammerdam, Brookes, Goldsmith, &c. Embellished with copper-plates. Intended as a companion to Buffon's Natural History 1792",IA,1,1005,703,302,6,270,26,0
110936,1750_1799,1793,History of quadrupeds,BHL,2,2123,1966,157,2,139,16,0
200964,1750_1799,1793,Zoology and botany of New Holland and the isles adjacent : the zoological part,BHL,1,103,92,11,0,3,8,1
seybert|inaugural dissertation being an attempt to disprove the,1750_1799,1793,"An inaugural dissertation: being an attempt to disprove the doctrine of the putrefaction of the blood of living animals. Submitted to the examination of the Rev. John Ewing, S.T.P. provost; the truste",IA,1,95,91,4,0,3,1,1
falconer|miscellaneous tracts and collections relating to natural history,1750_1799,1793,"Miscellaneous tracts and collections relating to natural history, selected from the principal writers of antiquity on that subject. By W. Falconer, M.D. 1793",IA,1,169,169,0,0,0,0,1
leclerc|natural history of birds fish insects and reptiles,1750_1799,1793,"Natural history of birds, fish, insects and reptiles. Embellished with upwards of two hundred engravings. In five volumes. ... 1793: Vol 3",IA,1,441,322,119,2,104,13,0
|natural history of beasts compiled from the best,1750_1799,1793,"The natural history of beasts, compiled from the best authorities, and illustrated by a great variety of copper plates, ... 1793",IA,1,499,362,137,5,126,6,0
jones|natural history of birds compiled from the best,1750_1799,1793,"The natural history of birds, compiled from the best authorities, and illustrated by a great variety of copper plates, ... 1793",IA,1,473,360,113,0,109,4,0
harris|natural history of the bible or a description,1750_1799,1793,"The natural history of the Bible: or a description of all the beasts, birds, ... precious stones, &c. Mentioned in the sacred scriptures. Collected from the best authorities, and alphabetically arrang",IA,1,455,399,56,4,48,4,0
49765,1750_1799,1794,"Harmonia ruralis, or, An essay towards a natural history of British song birds : illustrated with figures the size of life, of the birds, male and female, in their most natural attitudes ...",BHL,1,301,282,19,0,18,1,1
110098,1750_1799,1794,"Portraits of rare and curious birds, with their descriptions : from the menagery of Osterly Park, in the county of Middlesex",BHL,1,262,227,35,0,31,4,0
donovan|instructions for collecting and preserving various subjects of,1750_1799,1794,"Instructions for collecting and preserving various subjects of natural history; as animals, birds, reptiles, shells, corals, plants, &c. Together with A treatise on the management of insects in their ",IA,1,102,85,17,1,11,5,1
sibly|magazine of natural history comprehending the whole science,1750_1799,1794,"Magazine of natural history. Comprehending the whole science of animals, plants, and minerals; divided into distinct parts, the characters separately described, and systematically arranged. By E. Sibl",IA,1,1200,1011,189,5,158,26,0
peacock|visit for a week or hints on the,1750_1799,1794,"The visit for a week; or, hints on the improvement of time. Containing original tales, ... from natural ... history, &c. designed for the amusement of youth. By the author of The six princesses of Bab",IA,1,139,123,16,5,11,0,1
edwards|discourse on the emigration of british birds 1795,1750_1799,1795,A discourse on the emigration of British birds; ... 1795,IA,1,137,122,15,1,14,0,1
jones|natural history of fishes 1795,1750_1799,1795,"A natural history of fishes, ... 1795",IA,1,425,324,101,1,83,17,0
white|naturalist s calendar with observations in various branches,1750_1799,1795,"A naturalist's calendar, with observations in various branches of natural history; extracted from the papers of the the late Rev. Gilbert White, ... 1795",IA,1,180,161,19,1,17,1,1
physician|short treatise on canine madness particularly the bite,1750_1799,1795,"A short treatise on canine madness, particularly the bite of mad dogs: some cautions to prevent the danger, and remedies for injuries received thereby: together with those of other enraged animals. By",IA,1,39,36,3,0,3,0,1
fuessli|archives of entomology containing the history or ascertaining,1750_1799,1795,"Archives of entomology, containing the history, or ascertaining the characters and classes of insects not hitherto described, imperfectly known, or erroneously classified. Translated from the German o",IA,1,357,330,27,0,11,16,1
cox|fowler containing rules for taking every species of,1750_1799,1795,"The fowler. Containing rules for taking every species of land and water fowl; whether by fowling piece, net, engine, or otherwise. ... Likewise, instructions for the choice and training of the dogs fo",IA,1,189,170,19,0,19,0,1
lewin|insects of great britain systematically arranged accurately engraved,1750_1799,1795,"The insects of Great Britain, systematically arranged, accurately engraved, and painted from nature, with the natural history of each species, ... The figures engraved ... by the author, W. Lewin, ...",IA,1,290,265,25,0,24,1,1
lewin|birds of great britain systematically arranged accurately engraved,1750_1799,1795,"The birds of Great Britain, systematically arranged, accurately engraved, and painted from nature ..",IA,1,149,136,13,0,11,2,1
johnberkenhout|synopsis of the natural history of great britain,1750_1799,1795,"Synopsis of the natural history of Great Britain and Ireland, Volume 2",IA,1,358,349,9,0,1,8,1
bickham|curious antique collection of birds eye views of,1750_1799,1796,"A curious antique collection of birds-eye views of the several counties in England & Wales; exhibiting a pleasing landscape of each county; ... Finely engraved on forty six plates. By George Bickham, ",IA,1,13,13,0,0,0,0,1
shaw|cimelia physica figures of rare and curious quadrupeds,1750_1799,1796,"Cimelia physica. Figures of rare and curious quadrupeds, birds, &c. together with several of the most elegant plants. Engraved and coloured from the subjects themselves by John Frederick Miller. With ",IA,1,258,226,32,0,23,9,0
fourcroy|elements of chemistry and natural history to which,1750_1799,1796,"Elements of chemistry, and natural history. To which is prefixed the philosophy of chemistry. By A. F. Fourcroy. Translated from the fourth and last edition of the original French work, by R. Heron. I",IA,1,310,304,6,0,4,2,1
fourcroy|elements of natural history and of chemistry 1796,1750_1799,1796,"Elements of natural history, and of chemistry: ... 1796: Vol 3",IA,1,154,152,2,0,0,2,1
raff|system of natural history 1796 vol 1,1750_1799,1796,"[Naturgeschichte für kinder. English]. A system of natural history, ... 1796: Vol 1",IA,1,849,653,196,13,154,29,0
raff|system of natural history 1796 vol 2,1750_1799,1796,"[Naturgeschichte für kinder. English]. A system of natural history, ... 1796: Vol 2",IA,1,1200,944,256,10,233,13,0
trusler|on cruelty to animals 1796,1750_1799,1796,On cruelty to animals. 1796,IA,1,10,10,0,0,0,0,1
antoinefranoisdefourcroy|elements of chemistry and natural history to which,1750_1799,1796,"Elements of Chemistry, and Natural History: To which is Prefixed the Philosophy of Chemistry.",IA,1,443,350,93,0,48,45,0
edwarddonovan|natural history of british insects explaining them in,1750_1799,1796,"The natural history of british insects: explaining them in their ..., Volume 5",IA,1,190,178,12,0,6,6,1
115564,1750_1799,1797,Observations on the structure and economy of plants : to which is added The analogy between the animal and the vegetable kingdom,BHL,1,134,101,33,1,21,11,0
116052,1750_1799,1797,Observations on the structure and economy of plants : to which is added the analogy between the animal and the vegetable kingdom,BHL,1,133,92,41,1,25,15,0
166220,1750_1799,1797,"A short history of Insects ... designed as an introduction to the study of that branch of Natural History, and as a pocket companion to those who visit the Leverian Museum",BHL,1,308,205,103,1,88,14,0
201,1750_1799,1797,"The natural history of the rarer lepidopterous insects of Georgia : including their systematic characters, the particulars of their several metamorphoses, and the plants on which they feed. Collected ",BHL,2,251,245,6,0,5,1,1
stock|inaugural essay on the effects of cold upon,1750_1799,1797,"An inaugural essay on the effects of cold upon the human body. Submitted to the examination of the Rev. John Ewing, S.T.P. provost, the medical professors and trustees, of the University of Pennsylvan",IA,1,19,17,2,0,2,0,1
buffon|barr s buffon buffon s natural history containing,1750_1799,1797,"Barr's Buffon. Buffon's Natural history. Containing a theory of the earth, a general history of man, of the brute creation, and of vegetables, minerals, &c. &c. &c. From the French. With notes by the ",IA,1,538,406,132,2,109,21,0
beilby|history of british birds the figures engraved on,1750_1799,1797,History of British birds. The figures engraved on wood by T. Bewick. Vol. 1. containing the history and description of land birds. 1797,IA,1,418,331,87,5,79,3,0
nicholson|on the conduct of man to inferior animals,1750_1799,1797,"On the conduct of man to inferior animals, &c. 1797",IA,1,329,286,43,5,36,2,0
edmundlambert|iv observations relating to the migration of birds,1750_1799,1797,IV. Observations relating to the Migration of Birds,IA,1,12,12,0,0,0,0,1
johnbrand|xvi on the latin terms used in natural,1750_1799,1797,XVI. On the Latin Terms used in Natural History,IA,1,3,3,0,0,0,0,1
thomasmarsham|xxiii observations on the insects that infested the,1750_1799,1797,"XXIII. Observations on the Insects that infested the Corn in the Year 1795. In a Letter to the Rev. Samuel Goodenough, LL. D. F. R. S. Tr. L. S",IA,1,28,27,1,0,1,0,1
thomasbewick|history of british birds volume 1,1750_1799,1797,"History of British birds, Volume 1",IA,1,460,367,93,6,83,4,0
174245,1750_1799,1798,"An epitome of the natural history of the insects of China. Comprising figures and descriptions of upwards of one hundred new, singular, and beautiful species; together with some that are of importance",BHL,1,413,387,26,1,14,11,1
176698,1750_1799,1798,"An epitome of the natural history of the insects of China : comprising figures and descriptions of upwards of one hundred new, singular, and beautiful species, together with some that are of importanc",BHL,1,415,390,25,1,12,12,1
176712,1750_1799,1798,"Beauties of the creation: or, A new moral system of natural history; displayed in the most singular, curious and beautiful quadrupeds, birds, insects, trees, shrubs & flowers ...",BHL,1,508,321,187,36,136,15,0
|key to natural history to accompany the children,1750_1799,1798,"A key to natural history, to accompany The children's cabinet. 1798",IA,1,62,47,15,0,12,3,1
home|account of the orifice in the retina of,1750_1799,1798,"An account of the orifice in the retina of the human eye, discovered by Professor Soemmering. To which are added, proofs of this appearance being extended to the eyes of other animals. By Everard Home",IA,1,20,18,2,0,2,0,1
young|essay on humanity to animals by thomas young,1750_1799,1798,"An essay on humanity to animals; by Thomas Young, ... 1798",IA,1,170,153,17,4,13,0,1
wilkinson|essays physiological and philosophical on the distortion of,1750_1799,1798,"Essays physiological and philosophical, on the distortion of the spine, the motive power of animals. 1798",IA,1,147,127,20,0,19,1,1
|natural history of birds fish insects and reptiles,1750_1799,1798,"Natural history of birds, fish, insects, and reptiles. Embellished with upwards of two hundred engravings. In five volumes. ... 1798: Vol 5",IA,1,738,503,235,3,211,21,0
jones|natural history of beasts compiled from the best,1750_1799,1798,"The natural history of beasts, compiled from the best authorities, and illustrated by a great variety of copper plates, ... 1798: Vol 1",IA,1,227,130,97,7,89,1,0
aikin|natural history of the year being an enlargement,1750_1799,1798,The natural history of the year; being an enlargement of Dr. Aikin's Calendar of nature. By Arthur Aikin. 1798,IA,1,156,127,29,0,29,0,1
carver|three years travels through the interior parts of,1750_1799,1798,"Three years travels through the interior parts of North-America, for more than five thousand miles; ... with a description of the birds, beasts, ... Together with a concise history of the ... Indians ",IA,1,362,318,44,1,42,1,0
smith|tracts relating to natural history by james edward,1750_1799,1798,"Tracts relating to natural history. By James Edward Smith, ... 1798",IA,1,166,151,15,7,6,2,1
114859,1750_1799,1799,"An account of the regular gradation in man, and in different animals and vegetables ...",BHL,1,292,248,44,0,32,12,0
118582,1750_1799,1799,Tracts on the nature of animals and vegetables,BHL,1,868,780,88,2,62,24,0
159585,1750_1799,1799,Fragments of the natural history of Pennsylvania,BHL,1,270,261,9,0,9,0,1
204225,1750_1799,1799,Tracts on the nature of animals and vegetables,BHL,1,743,667,76,2,56,18,0
religioustractsocietygreatbritain|australia its scenery natural history and resources with,1750_1799,1799,"Australia: Its Scenery, Natural History, and Resources, with a Glance at Its ...",IA,1,224,197,27,1,25,1,1
barlow|collection of birds and beasts on thirty six,1750_1799,1799,"A collection of birds and beasts; on thirty-six quarto plates; finely drawn and engraved after life, by Francis Barlow. 1799",IA,1,4,4,0,0,0,0,1
donovan|illustration of british zoology on may 1 1799,1750_1799,1799,"Illustration of British zoology. On May 1, 1799, will be published, the first number of an entirely new, complete, and elegant work, ... The natural history of British shells, ... By E. Donovan, ... L",IA,1,11,11,0,0,0,0,1
smith|minor morals interspersed with sketches of natural history,1750_1799,1799,"Minor morals, interspersed with sketches of natural history, historical anecdotes, and original stories. By Charlotte Smith, ... In two vols. ... 1799: Vol 2",IA,1,51,47,4,0,4,0,1
spallanzani|opuscoli di fisica animale e vegetabile english abridgments,1750_1799,1799,"[Opuscoli di fisica animale e vegetabile. English. Abridgments). Tracts on the nature of animals and vegetables. By Lazaro Spallanzani, ... 1799",IA,1,586,535,51,0,36,15,0
fothergill|ornithologia britannica or a list of all the,1750_1799,1799,"Ornithologia Britannica: or, a list of all the British birds. In Latin and English. Comprehending all those that visit us ... or that are domesticated; as well as those that are constant inhabitants .",IA,1,107,102,5,0,5,0,1
rowlin|complete cow doctor or farmer s companion treating,1750_1799,1799,"The complete cow-doctor; or, farmer's companion: treating of the most common disorders of black-cattle, their causes, symptoms, and cures: by Joshua Rowlin, ... To which is prefixed, the natural histo",IA,1,357,277,80,1,76,3,0
|hare or hunting incompatible with humanity written as,1750_1799,1799,"The hare; or, hunting incompatible with humanity: written as a stimulus to youth towards a proper treatment of animals. 1799",IA,1,10,9,1,0,1,0,1
donovan|natural history of british birds or a selection,1750_1799,1799,"The natural history of British birds; or, a selection of the most rare, beutiful, and interesting birds which inhabit this country: the description from the Systema naturae of Linnaeus; with general o",IA,1,129,126,3,0,2,1,1
kilner|rational brutes or talking animals by m pelham,1750_1799,1799,"The rational brutes; or, talking animals. By M. Pelham, ... 1799",IA,1,141,140,1,0,1,0,1
townson|tracts and observations in natural history and physiology,1750_1799,1799,"Tracts and observations in natural history and physiology. With seven plates. By Robert Townson, ... 1799",IA,1,165,124,41,1,33,7,0
faujasdestfond|travels in england scotland and the hebrides undertaken,1750_1799,1799,"Travels in England, Scotland, and the Hebrides; undertaken for the purpose of examining the state of the arts, the sciences, natural history and manners, in Great Britain: ... In two volumes with plat",IA,1,148,147,1,0,1,0,1
comparisons|comparisons of structure in animals the hand and,1750_1799,1799,Comparisons of structure in animals. The hand and the arm,IA,1,254,84,170,21,133,16,0
roberttownson|tracts and observations in natural history and physiology,1750_1799,1799,Tracts and Observations in Natural History and Physiology: With Seven Plates,IA,1,152,114,38,0,33,5,0
33932,1800_1829,1800,"The natural history of British shells : including figures and descriptions of all the species hitherto discovered in Great Britain, systematically arranged in the Linnean manner, with scientific and g",BHL,7,1713,1571,142,0,5,137,0
49008,1800_1829,1801,Supplement II to the General synopsis of birds,BHL,1,1062,1018,44,0,40,4,0
115874,1800_1829,1801,An introduction to the study of the animal economy,BHL,1,134,50,84,1,44,39,0
118590,1800_1829,1801,"An inquiry into the structure and animal oeconomy of the horse : comprehending the diseases to which his limbs and feet are subject, with proper directions for shoeing, and pointing out a method for a",BHL,1,340,244,96,1,91,4,0
60403,1800_1829,1802,"Account of the skeleton of the mammoth, a non-descript carnivorous animal of immense size, found in America",BHL,1,77,68,9,0,8,1,1
106307,1800_1829,1802,Lectures on comparative anatomy,BHL,4,4800,3506,1294,0,762,532,0
124925,1800_1829,1802,"The natural history of British fishes, including scientific and general descriptions of the most interesting species and an extensive selection of accurately finished coloured plates",BHL,2,985,881,104,0,39,65,0
66343,1800_1829,1803,"An historical disquisition on the mammoth : or, great American incognitum, an extinct, immense, carnivorous animal, whose fossil remains have been found in North America",BHL,1,100,82,18,0,13,5,1
2091,1800_1829,1803,"Zoonomia; or, The Laws of Organic Life ...",BHL,2,2040,1765,275,6,216,53,0
117695,1800_1829,1803,Description and Natural History of S. Polito's Collection of Living Beasts and Birds,BHL,1,172,133,39,0,33,6,0
10539,1800_1829,1803,Tracts on the natural history of animals and vegetables,BHL,2,1717,1502,215,2,114,99,0
33927,1800_1829,1803,"Testacea Britannica, or, Natural history of British shells, marine, land, and fresh-water, including the most minute : systematically arranged and embellished with figures",BHL,1,1200,1117,83,1,21,61,0
101795,1800_1829,1804,[African scenery and animals],BHL,1,73,60,13,0,13,0,1
